,name,company,year,Price,kms_driven,fuel_type
78,Hyundai Verna Fluidic,Hyundai,2015,525000,35000,Diesel
79,Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
80,Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
81,Ford EcoSport Titanium,Ford,2014,550000,44000,Diesel
82,Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
83,Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
84,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
85,Hyundai Grand i10,Hyundai,2014,345000,49000,Diesel
86,Honda Amaze 1.2,Honda,2014,325000,42000,Petrol
87,Hyundai i20 Asta,Hyundai,2012,329500,36200,Diesel
88,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
89,Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
90,Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
91,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
92,Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
93,Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
94,Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
95,Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
96,Toyota Etios Liva,Toyota,2014,270000,55000,Petrol
97,Hyundai i20 Sportz,Hyundai,2011,350000,33333,Diesel
98,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
99,Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
100,Nissan Micra XV,Nissan,2011,179000,41000,Petrol
101,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
102,Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
103,Honda Amaze 1.5,Honda,2013,299000,45000,Diesel
104,Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
105,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
106,Honda City 1.5,Honda,2010,285000,35000,Petrol
107,Ford EcoSport Trend,Ford,2016,830000,24330,Diesel
108,Hyundai i20 Asta,Hyundai,2009,210000,65480,Petrol
109,Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
110,Tata Indica V2,Tata,2006,90000,20000,Petrol
111,Hindustan Motors Ambassador,Hindustan,2000,70000,200000,Diesel
112,Toyota Corolla Altis,Toyota,2010,289999,70000,Petrol
113,Toyota Corolla Altis,Toyota,2012,349999,59000,Petrol
114,Toyota Innova 2.5,Toyota,2012,849999,99000,Diesel
115,Volkswagen Jetta Highline,Volkswagen,2014,749999,46000,Diesel
116,Volkswagen Polo Comfortline,Volkswagen,2015,399999,2800,Petrol
117,Volkswagen Polo,Volkswagen,2014,274999,32000,Petrol
118,Mahindra Scorpio,Mahindra,2015,984999,22000,Diesel
119,Nissan Sunny,Nissan,2012,224999,45000,Petrol
120,Hyundai Elite i20,Hyundai,2018,599999,21000,Petrol
121,Renault Kwid,Renault,2016,244999,11000,Petrol
122,Renault Duster,Renault,2013,399999,41000,Diesel
123,Renault Duster,Renault,2014,474999,50000,Diesel
124,Mahindra Scorpio VLX,Mahindra,2011,499999,66000,Diesel
125,Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
126,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol
127,Datsun Redi GO,Datsun,2016,245000,7000,Petrol
128,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
129,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel
130,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
131,Toyota Etios GD,Toyota,2013,275000,24800,Petrol
132,Hyundai i20 Sportz,Hyundai,2014,370000,60000,Diesel
133,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol
134,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel
135,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel
136,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel
137,Tata Indigo CS,Tata,2011,85000,11400,Diesel
138,Toyota Corolla Altis,Toyota,2015,575000,42000,Petrol
139,Honda City 1.5,Honda,2014,549000,39000,Petrol
140,Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
141,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol
142,Mahindra Scorpio S10,Mahindra,2015,900000,97200,Diesel
143,Mahindra XUV500,Mahindra,2014,699999,52000,Diesel
144,Ford Fiesta,Ford,2011,274999,55000,Diesel
145,Honda City,Honda,2015,599999,30000,Diesel
146,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
147,Honda City,Honda,2014,544999,45000,Diesel
148,Hyundai i20,Hyundai,2009,199000,31000,Petrol
149,Tata Indigo eCS,Tata,2016,320000,175430,Diesel
150,Hyundai Fluidic Verna,Hyundai,2015,540000,38000,Diesel
151,Mahindra Quanto C8,Mahindra,2013,340000,37000,Diesel
152,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
153,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol
154,Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
155,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
156,Hyundai Creta 1.6,Hyundai,2017,895000,32000,Petrol
157,Mahindra Scorpio SLX,Mahindra,2007,355000,75000,Diesel
158,Mahindra Scorpio SLE,Mahindra,2012,565000,62000,Diesel
159,Toyota Innova 2.5,Toyota,2006,365000,73000,Diesel
160,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
161,Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
162,Tata Nano Cx,Tata,2013,40000,2200,Petrol
163,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
164,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
165,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
166,Tata Sumo Victa,Tata,2012,285000,65000,Diesel
167,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
168,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
169,Volkswagen Passat Diesel,Volkswagen,2009,450000,97000,Diesel
170,Renault Scala RxL,Renault,2015,375000,25000,Diesel
171,Hyundai Grand i10,Hyundai,2014,365000,20000,Petrol
172,Hyundai i20 Active,Hyundai,2015,500000,18000,Petrol
173,Mahindra Xylo E4,Mahindra,2012,400000,35000,Diesel
174,Mahindra Jeep MM,Mahindra,2019,390000,60,Diesel
175,Mahindra Bolero SLE,Mahindra,2013,330000,80200,Diesel
176,Force Motors Force,Force,2015,580000,3200,Diesel
177,Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
178,Mahindra Jeep CL550,Mahindra,2019,379000,0,Diesel
179,Maruti Suzuki Alto,Maruti,2015,219000,5000,Petrol
180,Mahindra Jeep CL550,Mahindra,2018,385000,588,Diesel
181,Toyota Etios,Toyota,2011,275000,36000,Diesel
182,Volkswagen Polo,Volkswagen,2015,330000,38000,Diesel
183,Honda City ZX,Honda,2008,110000,45000,Petrol
184,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
185,Honda City VX,Honda,2016,519000,52000,Diesel
186,Mahindra Thar CRDe,Mahindra,2016,730000,29000,Diesel
187,Audi A4 1.8,Audi,2009,699000,47000,Petrol
188,Mercedes Benz GLA,Mercedes,2015,2000000,20000,Diesel
189,Land Rover Freelander,Land,2015,2100000,30000,Diesel
190,Renault Kwid RXT,Renault,2017,340000,5000,Petrol
191,Tata Aria Pleasure,Tata,2014,390000,35000,Diesel
192,Mercedes Benz B,Mercedes,2014,1400000,31000,Petrol
193,Datsun GO T,Datsun,2016,245000,7000,Petrol
194,Tata Indigo eCS,Tata,2016,320000,175400,Diesel
195,Honda Jazz VX,Honda,2016,450000,41000,Petrol
196,Honda Amaze 1.2,Honda,2014,311000,33000,Petrol
197,Honda City,Honda,2012,399999,45000,Petrol
198,Honda City,Honda,2015,599999,39000,Diesel
199,Mahindra Scorpio S4,Mahindra,2015,855000,30000,Diesel
200,Hyundai i20 Active,Hyundai,2015,535000,37000,Diesel
201,Mini Cooper S,Mini,2013,1891111,13000,Petrol
202,Maruti Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
203,Chevrolet Tavera Neo,Chevrolet,2013,375000,55000,Diesel
204,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
205,Tata Sumo Gold,Tata,2013,300000,50000,Diesel
206,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
207,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
208,Maruti Suzuki Eeco,Maruti,2015,255000,9300,Petrol
209,Chevrolet Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel
210,Maruti Suzuki Wagon,Maruti,2015,289999,22000,Petrol
211,Nissan Terrano XL,Nissan,2015,499999,60000,Diesel
212,Renault Duster 85,Renault,2014,489999,59000,Diesel
213,Renault Duster 85,Renault,2015,549999,19000,Diesel
214,Maruti Suzuki Dzire,Maruti,2013,380000,30000,Petrol
215,Renault Kwid RXT,Renault,2018,325000,15000,Petrol
216,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
217,Renault Kwid 1.0,Renault,2018,349999,10000,Petrol
218,Renault Scala RxL,Renault,2014,349999,49000,Diesel
219,Hyundai Grand i10,Hyundai,2014,410000,41000,Petrol
220,Maruti Suzuki Swift,Maruti,2011,225000,45000,Petrol
221,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol
222,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol
223,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol
224,Chevrolet Beat LS,Chevrolet,2015,220000,32700,Petrol
225,Ford EcoSport Titanium,Ford,2016,599000,30000,Diesel
226,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
227,Mahindra TUV300 T4,Mahindra,2016,675000,9000,Diesel
228,Tata Indica V2,Tata,2008,150000,11000,Petrol
229,Tata Indigo CS,Tata,2009,72500,46000,Diesel
230,Maruti Suzuki Swift,Maruti,2019,610000,73,Petrol
231,Mahindra Scorpio VLX,Mahindra,2004,230000,160000,Diesel
232,Honda Accord,Honda,2009,175000,58559,Petrol
233,Ford EcoSport Titanium,Ford,2014,520000,57000,Diesel
234,Maruti Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
235,Honda Amaze,Honda,2014,299999,37000,Petrol
236,Maruti Suzuki Dzire,Maruti,2012,299999,40000,Petrol
237,Honda City,Honda,2011,284999,55000,Petrol
238,Mahindra Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
239,Maruti Suzuki Dzire,Maruti,2014,424999,55000,Diesel
240,Honda City,Honda,2015,644999,39000,Petrol
241,Honda Mobilio,Honda,2014,399999,44000,Petrol
242,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
243,Honda City,Honda,2014,584999,39000,Petrol
244,Skoda Laura,Skoda,2012,349999,44000,Diesel
245,Renault Duster,Renault,2015,449999,49000,Diesel
246,Maruti Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
247,Maruti Suzuki Dzire,Maruti,2015,444999,45000,Diesel
248,Mahindra XUV500,Mahindra,2014,649999,47000,Diesel
249,Hyundai Verna Fluidic,Hyundai,2012,444999,40000,Diesel
250,Maruti Suzuki Vitara,Maruti,2016,689999,29000,Diesel
251,Maruti Suzuki Wagon,Maruti,2016,344999,15000,Petrol
252,Mahindra Scorpio,Mahindra,2015,944999,45000,Diesel
253,Honda Amaze,Honda,2014,274999,35000,Petrol
254,Mahindra XUV500,Mahindra,2013,689999,80000,Diesel
255,Mahindra Scorpio,Mahindra,2013,574999,68000,Diesel
256,Skoda Laura,Skoda,2013,374999,50000,Diesel
257,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
258,Hyundai Elite i20,Hyundai,2016,549999,9000,Petrol
259,Tata Manza Aura,Tata,2012,130000,72000,Diesel
260,Chevrolet Sail UVA,Chevrolet,2013,210000,60000,Petrol
261,Hyundai Verna Fluidic,Hyundai,2013,401000,45000,Diesel
262,Audi A4 2.0,Audi,2012,1350000,40000,Diesel
263,Hyundai Elantra SX,Hyundai,2013,600000,20000,Petrol
264,Mahindra Scorpio VLX,Mahindra,2013,610000,35000,Diesel
265,Mahindra KUV100 K8,Mahindra,2016,400000,20000,Diesel
266,Hyundai Grand i10,Hyundai,2017,524999,6821,Petrol
267,Hyundai i20,Hyundai,2014,449999,23000,Petrol
268,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
269,Hyundai i10,Hyundai,2012,244999,38000,Petrol
270,Hyundai i20 Active,Hyundai,2015,574999,35000,Diesel
271,Datsun Redi GO,Datsun,2017,244999,22000,Petrol
272,Toyota Etios Liva,Toyota,2011,239999,41000,Petrol
273,Hyundai Accent,Hyundai,2010,99999,45000,Petrol
274,Hyundai Verna,Hyundai,2014,489999,44000,Diesel
275,Maruti Suzuki Swift,Maruti,2013,324999,45000,Diesel
276,Toyota Fortuner,Toyota,2011,1074999,52000,Diesel
277,Hyundai i10 Sportz,Hyundai,2012,230000,34000,Petrol
278,Mahindra Bolero Power,Mahindra,2018,699000,1800,Diesel
279,Mahindra XUV500,Mahindra,2015,1000000,15000,Diesel
280,Honda City 1.5,Honda,2010,240000,400000,Petrol
281,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol
282,Mahindra XUV500,Mahindra,2016,1130000,72000,Diesel
283,Tata Indigo eCS,Tata,2014,250000,40000,Diesel
284,Skoda Rapid Elegance,Skoda,2013,340000,48000,Diesel
285,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
286,Maruti Suzuki Alto,Maruti,2015,265000,12000,Petrol
287,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
288,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol
289,Maruti Suzuki Swift,Maruti,2016,350000,166000,Diesel
290,Honda City ZX,Honda,2008,149000,42000,Petrol
291,Mahindra Jeep MM,Mahindra,2006,425000,122,Diesel
292,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
293,Honda City 1.5,Honda,2010,225000,70000,Petrol
294,Hyundai Verna 1.4,Hyundai,2014,375000,36000,Petrol
295,Toyota Innova 2.5,Toyota,2012,770000,0,Diesel
296,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
297,Maruti Suzuki Swift,Maruti,2014,335000,55000,Diesel
298,Hyundai Elite i20,Hyundai,2015,450000,20000,Diesel
299,Maruti Suzuki Swift,Maruti,2012,225000,40000,Petrol
300,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
301,Tata Indigo LX,Tata,2016,130000,104000,Diesel
302,Volkswagen Vento Konekt,Volkswagen,2011,245000,65000,Diesel
303,Mercedes Benz C,Mercedes,2002,399000,41000,Petrol
304,Maruti Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
305,Honda City,Honda,2000,65000,80000,Petrol
306,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
307,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
308,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel
309,Hyundai Elite i20,Hyundai,2018,600000,7800,Petrol
310,Maruti Suzuki Alto,Maruti,2017,240000,60000,Petrol
311,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
312,Honda Jazz S,Honda,2009,169999,24695,Petrol
313,Hyundai Grand i10,Hyundai,2017,450000,15141,Petrol
314,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
315,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel
316,Maruti Suzuki Alto,Maruti,2014,270000,22000,Petrol
317,Hyundai Grand i10,Hyundai,2016,280000,59910,Diesel
318,Mahindra XUV500 W8,Mahindra,2012,560000,100000,Diesel
319,Hyundai Creta 1.6,Hyundai,2016,950000,25000,Petrol
320,Hyundai i20 Magna,Hyundai,2013,310000,35000,Petrol
321,Renault Duster 85,Renault,2015,715000,65000,Diesel
322,Hyundai Grand i10,Hyundai,2014,340000,35000,Petrol
323,Honda Brio V,Honda,2012,235000,33000,Petrol
324,Mahindra TUV300 T4,Mahindra,2017,610000,68000,Diesel
325,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol
326,Mahindra TUV300 T8,Mahindra,2018,1000000,4500,Diesel
327,Maruti Suzuki Swift,Maruti,2015,220000,129000,Diesel
328,Nissan X Trail,Nissan,2019,1200000,300,Diesel
329,Maruti Suzuki Alto,Maruti,2015,230000,5000,Petrol
330,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol
331,Toyota Fortuner 3.0,Toyota,2010,940000,131000,Diesel
332,Tata Manza ELAN,Tata,2010,155555,111111,Petrol
333,Mercedes Benz A,Mercedes,2013,1500000,14000,Petrol
334,Chevrolet Beat LS,Chevrolet,2016,210000,22000,Diesel
335,Ford EcoSport Trend,Ford,2013,495000,38000,Diesel
336,Tata Indigo LS,Tata,2016,125000,70000,Diesel
337,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
338,Volkswagen Vento Highline,Volkswagen,2015,550000,34000,Diesel
339,Renault Kwid RXT,Renault,2015,270000,43000,Petrol
340,Ford EcoSport Titanium,Ford,2014,500000,40000,Diesel
341,Honda Amaze 1.5,Honda,2016,240000,160000,Diesel
342,Hyundai Verna 1.6,Hyundai,2017,800000,12000,Petrol
343,BMW 5 Series,BMW,2011,1299000,49000,Diesel
344,Skoda Superb 1.8,Skoda,2011,530000,68000,Petrol
345,Audi Q3 2.0,Audi,2013,1499000,37000,Diesel
346,Mahindra Bolero DI,Mahindra,2012,220000,59466,Diesel
347,Ford Figo Duratorq,Ford,2012,250000,99000,Diesel
348,Maruti Suzuki Wagon,Maruti,2018,395000,25500,Petrol
349,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
350,Tata Nano GenX,Tata,2010,32000,44005,Petrol
351,Mahindra TUV300 T4,Mahindra,2016,540000,35000,Diesel
352,Hyundai Elite i20,Hyundai,2015,405000,28000,Petrol
353,Hyundai Elite i20,Hyundai,2015,400000,30000,Petrol
354,Honda City SV,Honda,2017,760000,4000,Petrol
355,Maruti Suzuki Baleno,Maruti,2016,500000,28000,Petrol
356,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
357,Honda City,Honda,2017,750000,3000,Petrol
358,Hyundai Elite i20,Hyundai,2015,419000,20000,Petrol
359,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
360,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
361,Mitsubishi Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
362,Hyundai i10 Magna,Hyundai,2008,275000,100200,Petrol
363,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
364,Maruti Suzuki Swift,Maruti,2011,230000,65,Petrol
365,Tata Indigo CS,Tata,2015,123000,100000,Diesel
366,Hyundai Xcent Base,Hyundai,2016,300000,140000,Diesel
367,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
368,Maruti Suzuki Baleno,Maruti,2016,498000,22000,Petrol
369,Tata Zest XE,Tata,2018,480000,103553,Diesel
370,Maruti Suzuki Dzire,Maruti,2017,488000,80000,Diesel
371,Tata Sumo Gold,Tata,2014,250000,99000,Diesel
372,Toyota Corolla Altis,Toyota,2010,220000,58000,Petrol
373,Maruti Suzuki Eeco,Maruti,2013,290000,70000,LPG
374,Toyota Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
375,Mahindra XUV500 W6,Mahindra,2013,548900,49800,Diesel
376,Tata Tigor Revotron,Tata,2019,650000,100,Diesel
377,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
378,Maruti Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
379,Honda Mobilio S,Honda,2014,399000,44000,Diesel
380,Maruti Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
381,Maruti Suzuki Vitara,Maruti,2017,725000,36000,Diesel
382,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
383,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
384,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
385,Honda Amaze,Honda,2013,250000,55700,Diesel
386,Tata Indica,Tata,2005,80000,42000,Petrol
387,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
388,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
389,Maruti Suzuki Wagon,Maruti,2014,250000,18500,Petrol
390,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
391,Honda Brio VX,Honda,2017,450000,11000,Petrol
392,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
393,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
394,Maruti Suzuki Wagon,Maruti,2016,225000,35500,Diesel
395,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
396,Renault Kwid RXT,Renault,2019,370000,1000,Petrol
397,Tata Nano Lx,Tata,2010,52000,9000,Petrol
398,Jaguar XE XE,Jaguar,2016,2800000,8500,Petrol
399,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
400,Honda City 1.5,Honda,2014,499000,22000,Petrol
401,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel
402,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
403,Hyundai Grand i10,Hyundai,2017,400000,20000,Petrol
404,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
405,Maruti Suzuki Swift,Maruti,2015,250000,55000,Petrol
406,Maruti Suzuki Wagon,Maruti,2017,375000,23000,Petrol
407,Honda Amaze 1.2,Honda,2014,381000,6000,Petrol
408,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
409,Maruti Suzuki Vitara,Maruti,2016,580000,25000,Diesel
410,Maruti Suzuki Eeco,Maruti,2015,278000,39000,Petrol
411,Hyundai Creta 1.6,Hyundai,2016,1000000,8000,Petrol
412,Mahindra Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
413,Maruti Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
414,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
415,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
416,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
417,Hyundai Grand i10,Hyundai,2015,340000,53000,Petrol
418,Hyundai Eon D,Hyundai,2018,260000,25000,Petrol
419,Ford Fiesta SXi,Ford,2009,250000,56400,Petrol
420,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
421,Hyundai Verna Fluidic,Hyundai,2012,350000,10000,Diesel
422,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
423,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
